N	X			Y
232	1.0035954			0.7776216
233	0.874769843			1.4263213
234	0.7044948			0.0518481
235	0.921668587			1.217190285
236	1.434273306			0.194537078
237	0.420115423			0.584166951
238	1.238323935			0.933158959
239	1.292891221			0.13260386
240	0.2239758			1.4230755
241	0.846658285			1.079335472
242	0.46769384			0.70744214
243	0.803611758			0.786985449
244	0.8712279			0.3570426
245	0.5251743			1.3721265
246	0.2872125			0.7414578
247	0.9588402			1.0113876
248	0.2378619			0.041958
249	0.2548449			0.8224767
250	1.2254605			1.409307994
251	0.7730262			0.7445547
252	0.909246569			0.870501111
253	0.615462586			0.835744374
254	1.0044945			1.0793196
255	0.347515425			0.802836208
256	0.8517474			0.6542451
